日期	金风科技	吉祥航空	保利地产
20190211	0.013091096	0.024116924	-0.000777303
20190212	-0.017493157	0.01341243	0.000777303
20190213	0.001469508	0.007028533	0.031360122
20190214	-0.009590631	0.0038835	0.007501911
20190215	-0.011931536	-0.023530497	-0.05452406
20190218	0.049040195	0.030483017	0.021858794
20190219	-0.043802623	-0.004629638	-0.012432173
20190220	0.024328513	0.009237941	0.026997397
20190221	-0.022837088	-0.005378422	-0.021539294
20190222	-0.000745434	0.007674635	0.002330098
20190225	0.095242385	0.07224954	0.055087484
20190226	-0.039410562	-0.027398974	-0.029052323
20190227	-0.032977899	-0.018443902	0.005277057
20190228	0.007262196	0.000744325	-0.006789917
20190301	0.019348508	0.006674107	0.010542266
20190304	0.032125668	0.000738825	0.040372455
20190305	0.054175734	0.001476015	0.018532248
20190306	0.002600782	0.009541357	-0.0120783
20190307	-0.031664915	-0.013235487	-0.033433346
20190308	-0.041744001	-0.053204036	-0.036887886
20190311	0.074706775	0.005449605	-0.000767165
20190312	0.011605546	0.010810916	0
20190313	-0.024003747	0.009174376	0.016743161
20190314	-0.039509658	0.016604155	0
20190315	0.041477517	-0.008267616	0.039220713
20190318	-0.017851714	0.030474302	0.044009941
20190319	-0.020897289	0.007293978	-0.011173301
20190320	0.089222826	-0.022786726	0.009087794
20190321	0	0.014027546	-0.01613504
20190322	0	0.023905521	-0.014245255
20190325	0	-0.033482021	-0.035040081
20190326	0	-0.027008393	-0.00970519
20190327	0	0.083138233	0.026648505
20190328	0	-0.010552331	-0.022904585
20190329	-0.098117856	0.043590436	0.062293851
20190401	0.003430535	0.06042547	0.029749686
20190402	-0.035556203	0.000637146	-0.015802459
20190403	-0.009269229	0.030115199	0.011704092
20190404	-0.018070604	0.04353771	-0.004115232
20190408	-0.016176823	-0.080683939	-0.006204777
20190409	0.022719922	-0.00902068	0.031316378
20190410	-0.00873368	0.015414563	-0.018262259
20190411	-0.05021662	-0.019955603	-0.031198371
20190412	-0.011596574	-0.033049935	-0.021353124
20190415	-0.005458103	-0.032095619	-0.00432589
20190416	0.013204075	0.006915657	0.045205437
20190417	0.025896344	0.003439976	-0.020230896
20190418	-0.020509644	-0.013135343	-0.013480162
20190419	-0.010802574	-0.004883163	0.014184635
20190422	-0.018794602	-0.016925651	-0.057987258
20190423	-0.024001152	-0.030327234	0
20190424	0.013671303	0.012386315	-0.002989539
20190425	-0.032470385	-0.039887119	-0.004501133
20190426	-0.044714323	-0.00301887	-0.004521485
20190429	-0.007795622	0.005277057	0.016479774
20190430	0.005203828	0.008236662	0.002226346
20190506	-0.04965559	-0.095384754	-0.050162492
20190507	-0.006383971	0.026711422	0.00853711
20190508	-0.014746811	0.003189795	-0.007757991
20190509	-0.012144007	-0.017671143	-0.026036974
20190510	0.035998349	0.008874604	0.036110674
20190513	-0.027575277	-0.00402415	-0.012412882
20190514	0.004649009	-0.029462033	0.002339182
20190515	0.040896203	0.013201512	0.00853049
20190516	-0.000890869	0.017066647	0.002313923
20190517	-0.046520016	-0.033595949	-0.028126854
20190520	-0.027450848	-0.022756987	-0.003969835
20190521	0.024645797	0.011864546	0.010288971
20190522	-0.011299555	0.014220231	0.003144657
20190523	-0.021053409	-0.006666691	-0.013433628
20190524	0.021053409	0.013289232	0
20190527	0.057947244	0.029270382	0.008712926
20190528	-0.000894055	0.001601281	-0.023943682
20190529	0	-0.003205131	-0.012190318
20190530	-0.000894855	-0.014551591	-0.004918043
20190531	0.023009865	0.015353837	-0.00082203
20190603	-0.002628122	0.003202565	0.001643386
20190604	-0.023071121	-0.016116384	-0.002466092
20190605	-0.004498433	-0.017206488	0.033187991
20190606	-0.022800805	-0.010801933	-0.001593626
20190610	0.000922084	-0.009232126	0.01974008
20190611	0.034423689	0.031537884	0.010886577
20190612	-0.010743165	-0.008203491	-0.006984895
20190613	0.000899685	0.001646091	-0.008603886
20190614	-0.008126456	-0.017420598	0.011714308
20190617	0.005424968	0.004175371	-0.003110422
20190618	0.000901307	0.026317308	-0.003120127
20190619	0.01164366	0.016901811	0.003120127
20190620	0.022017622	0.025218042	0.027651531
20190621	0.033407818	0.011605546	-0.014498537
20190624	0.029059745	-0.003081667	0.003835831
20190625	0.015428645	0.013031997	-0.013878403
20190626	-0.004037147	-0.007645297	-0.008577051
20190627	-0.002430135	0.015232587	0.003907781
20190628	0.008077588	-0.009874748	-0.004691174
20190701	0.010404256	0.012893618	0.020171359
20190702	-0.016861098	-0.005289019	0.013730193
20190703	-0.000810045	-0.005317141	0.012048339
20190704	-0.01059073	-0.002287458	0.020741484
20190705	0.007343974	0.01815481	-0.007358385
20190708	-0.024692613	-0.038980862	-0.007412932
20190709	0.011599136	0.014700458	0.00297177
20190710	0.0458833	-0.015480185	-0.001484781
20190711	-0.008692271	0.000779727	0.000742666
20190712	0.028170877	0.012393652	0.005921557
20190715	-0.010861239	0.03628516	-0.014870162
20190716	-0.023679086	-0.001485884	0.012653686
20190717	0.008747571	-0.005965715	0.002954212
20190718	-0.037101029	-0.014312862	-0.000737735
20190719	0.03630895	0.023248141	0.059451805
20190722	-0.026496934	-0.015689526	0.008310297
20190723	0.008103772	-0.001507159	-0.013889112
20190724	0.004027392	0.006015056	0.000699056
20190725	0.024614184	-0.011308074	0.00348797
20190726	-0.025418366	-0.003797954	0.008321823
20190729	-0.026907453	-0.002285715	-0.000690846
20190730	0.003300333	-0.007657005	0.010312914
20190731	-0.014938037	-0.009266476	-0.028444512
20190801	-0.01516457	-0.025138794	-0.027105796
20190802	-0.008525201	-0.0233411	-0.000723327
20190805	-0.01119254	-0.027240644	-0.031608659
20190806	0.00690253	0.004175371	0.010401282
20190807	0.010265274	-0.014267972	0.01394518
20190808	-0.006831794	0.014267972	0.00291121
20190809	-0.01990546	0.027128667	-0.018335681
20190812	0.019048195	0.008077588	0.029896503
20190813	-0.008613318	-0.007266887	-0.017391743
20190814	-0.008688152	0.007266887	-0.003661666
20190815	-0.004372547	-0.006456842	0.023206263
20190816	-0.000876808	-0.004056801	-0.007194276
20190819	0.052958574	0.026475674	0.030574724
20190820	-0.011715615	-0.018378464	0.011834458
20190821	0.023295563	0.017586385	0.006209058
20190822	0.012260064	-0.020817405	-0.012456908
20190823	0.006477755	-0.007308193	0.007630977
20190826	-0.007290433	-0.009828089	-0.002075407
20190827	0.061485084	0.012270093	-0.004859433
20190828	-0.005366054	-0.010625355	-0.008385793
20190829	0.006130287	0.004100047	-0.038631413
20190830	-0.010752792	0.008150004	-0.019146388
20190902	0.036395222	0.023266192	0.002227999
20190903	0.009633272	-0.010362787	-0.01344307
20190904	0.016093983	-0.000801603	0.041964199
20190905	-0.013148473	0.029239539	-0.011602741
20190906	-0.002208319	0.026135231	0.004366819
20190909	0.019701476	0.018045602	0.021552558
20190910	-0.001446132	-0.005229747	-0.005702082
20190911	-0.017518696	-0.015094626	-0.00286328
20190912	0.0102565	0.006820792	0.048278
20190916	-0.016905952	-0.024466052	-0.011679968
20190917	-0.03010009	-0.019539504	0.000690846
20190918	-0.000764234	0.013328304	0.025231478
20190919	0.00609758	0.003886519	-0.002697237
20190920	0.008323922	0.030560056	-0.015651902
20190923	-0.02672935	0.005253295	-0.00688234
20190924	0.014598799	0.052490183	-0.006234866
20190925	-0.00842594	0.015504187	-0.002783579
20190926	-0.034432196	-0.018349139	0.007636275
20190927	0.007930256	-0.012182164	-0.015331311
20190930	-0.011120051	-0.014524584	0.004204631
20191008	0.046047932	0.010189317	0.055097239
20191009	0.003046461	-0.027901957	0.03639128
20191010	0.017339296	0.032237224	-0.001277139
20191011	-0.011274077	-0.01525638	0.003826535
20191014	0.001510574	0.010196738	-0.007026538
20191015	-0.036898882	-0.013129291	0
20191016	-0.007072721	0.016023649	0.012739026
20191017	0.004720701	0.036186992	-0.007623925
20191018	-0.03840472	-0.020416056	-0.023226851
20191021	-0.008190054	0.005673774	0.029584151
20191022	0.017930391	-0.006385265	-0.005719749
20191023	-0.007296344	-0.031817579	-0.023864402
20191024	-0.023879274	-0.004418269	0.0039088
20191025	0.034401427	0.003683245	0.009705673
20191028	0.054067221	0.00732604	-0.041412424
20191029	-0.006120907	0.015930822	-0.014194223
20191030	-0.039927025	0.016387969	-0.006830628
20191031	0.003985657	-0.007804225	-0.012413953
20191101	0.003969835	0.035680595	0.02805521
20191104	-0.010354533	0.043704434	-0.002026343
20191105	0.043093232	0.002628122	0.012096922
20191106	-0.013899838	0.00327547	-0.020243606
20191107	-0.009375069	0.014285957	0.005438491
20191108	0.010152371	-0.020189549	-0.008852628
20191111	-0.027571656	-0.017253248	-0.034798222
20191112	-0.00721446	-0.018237588	0.002828856
20191113	0.010404256	-0.00546823	0.001411433
20191114	-0.006389798	0.003421146	-0.002824861
20191115	-0.023511419	-0.020704673	-0.006385265
20191118	0.017886656	0.024794659	0.006385265
20191119	0.00482316	0.014855101	0.025140989
20191120	-0.03841911	-0.025799123	-0.009702086
20191121	0.005816385	-0.019445057	-0.004886572
20191122	0.002482417	-0.002808991	0.005582708
20191125	0.000826105	0.004910568	0.032857165
20191126	-0.006628028	-0.009845368	-0.005401769
20191127	-0.013389321	-0.009943264	-0.0074754
20191128	-0.025598667	-0.008602204	-0.01789449
20191129	0.001727116	0.00645858	0.002081166
20191202	-0.004323396	0	0.0360706
20191203	-0.00521287	-0.026088436	0
20191204	-0.002616661	-0.017031141	-0.005361943
20191205	0.009561133	0.000746547	0.001343184
20191206	0.004315932	-0.003738322	0.005354765
20191209	0.022989518	-0.001499251	0.036701367
20191210	-0.012706651	-0.010558167	-0.00451468
20191211	-0.009421911	0.011308074	0.007085376
20191212	0.002578429	-0.022745484	-0.014872566
20191213	0.022072203	0.01143741	0.022545238
20191216	0.002515725	0.012057418	-0.000637146
20191217	0.016611678	0.026609109	0.01893996
20191218	-0.016611678	0.018070604	-0.008163311
20191219	-0.003355708	0.018453327	0
20191220	-0.000840689	-0.021322769	0.008788506
20191223	-0.016963935	0.012848142	-0.022756987
20191224	-0.006006024	0.000708968	-0.014815086
20191225	-0.017361547	0.007062176	-0.007163821
20191226	0.002623526	0.013282264	0.039095014
20191227	0.006962604	0.028074422	-0.002517308
20191230	0.012069112	0.0325502	0.024892387
20191231	0.023709832	-0.019802627	-0.00554701
20200102	0.039381627	0.011269592	0.004932192
20200103	0.010404256	-0.025368517	-0.019249275
20200106	0.02282665	-0.012929748	-0.017072814
20200107	-0.00389864	0.027028672	0.006990813
20200108	-0.008630889	-0.024975986	-0.017247314
20200109	0.008630889	0.056474653	0.047807846
20200110	-0.019724505	-0.005181359	-0.016099419
20200113	0.005562192	-0.003252035	0.028309583
20200114	-0.007157088	-0.013114942	-0.007919627
20200115	-0.007208682	0.00197824	-0.013547005
20200116	0.007208682	-0.009265453	-0.006218926
20200117	-0.008012863	-0.006002019	0.00559877
20200120	0.00881063	-0.042356058	-0.008722797
20200121	-0.036544871	-0.032627008	-0.033728937
20200122	0.000826788	0.006467863	0.026821531
20200123	-0.027651531	-0.055979268	-0.034618842
20200203	-0.105643762	-0.105360516	-0.092183956
20200204	-0.0037843	-0.004217636	0.023330857
20200205	0.039949576	0.055889646	0.011809793
20200206	0.009066245	-0.020186394	0.004822607
20200207	-0.016378892	-0.014790738	-0.010362787
20200210	0.013667639	-0.006644543	0.02942395
20200211	-0.003626477	0.02550529	0.009396042
20200212	0.013532006	-0.008975988	-0.00401607
20200213	-0.009905529	-0.010712917	0.031685819
20200214	-0.004535155	0.010712917	0.032601161
20200217	0.030441026	0.023492372	-0.010113866
20200218	-0.001765226	-0.011272261	-0.015365219
20200219	0.006164705	0.037350388	-0.001291156
20200220	0.020852189	0.039010683	0.010282867
20200221	-0.013853035	-0.027378136	-0.020020042
20200224	-0.014047641	-0.047364812	-0.01577942
20200225	-0.025975486	-0.028702257	0.011202753
20200226	-0.003636368	-0.015933251	0.046728501
20200227	0.000910332	-0.0101955	-0.010056653
20200228	-0.043707561	-0.059824344	0.022486894
20200302	0.040061249	0.02947958	0.03041597
